sequenceid,xp,yp,rp,xi,yi,ri
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-42,309.0134448,236.3365107,30.36041789,305.7931672,240.4773676,117.7753411
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-49,295.2747424,233.1409219,31.53390404,290.4682229,236.0164746,121.2060544
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-23-56,315.8522028,240.4234852,33.12973489,312.2485424,247.155319,123.21647
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-02,257.2473738,235.6535861,27.88650231,250.9028678,240.4224407,114.1849872
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-08,318.6919534,243.097502,30.50646029,313.7969863,249.2031199,120.5737318
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-12-24-15,312.2764741,238.3120781,29.21257246,306.8913725,240.9922398,119.6205641
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-22-55,295.9689386,214.5172643,28.6532353,304.5297249,218.6817019,122.3014593
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-02,319.9190016,227.078019,29.44348753,326.7455363,232.6403106,121.8052989
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-10,316.5423206,238.4851869,27.25277301,322.7425384,243.2718602,114.613795
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-17,340.5036627,240.1391379,30.84589473,347.532121,246.6992047,124.9842448
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-24,300.2035047,236.4167819,28.31171914,307.6811212,241.6896087,121.8844884
dataset/iiitd/images/Test/Contacts/AN10_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-12-23-32,314.4726802,219.6818344,30.23991946,321.7516485,225.6976011,117.0693993
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-21,323.6493868,202.3518129,50.53790328,321.8741808,199.1996909,130.3894164
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-27,354.2166207,209.7874835,47.18630473,350.4561023,209.0878962,123.6888261
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-35,379.0810694,185.7451275,45.71459523,376.0057962,190.3674573,118.2752757
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-41,360.6625096,150.7953023,52.82425297,355.8958979,150.2212759,122.8814483
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-49,328.0461917,180.7771431,51.83100401,325.0621494,186.8835941,126.9499214
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-43-56,336.0671737,194.0651595,51.6773513,332.3443444,194.6344493,126.5396087
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-35,243.5231189,224.7342957,45.29588959,245.7782302,228.2319715,117.9894367
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-43,208.5371513,174.5519061,50.93762631,208.7147745,178.0483339,124.3737238
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-51,270.7008346,208.2557417,46.40441602,272.7023691,206.7353761,118.164019
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-42-57,242.8720803,225.4873621,50.44519813,244.7931015,225.4470494,112.42289
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-43-05,263.2028741,201.4565507,51.22160944,265.6413317,200.3921969,110.8854545
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-43-12,317.0981808,211.182185,48.61364548,320.6126664,211.0646139,114.9096566
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-15,330.5751274,177.79647,37.37333291,322.73813,176.8590254,124.703459
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-21,360.4699869,195.2806949,40.31615349,355.0214533,203.6187727,127.7810854
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-28,395.9120158,165.3326745,37.9339835,390.1671958,166.2674809,126.6303439
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-35,381.8299912,185.419353,40.16205441,373.3397713,189.5900593,121.8073216
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-43,366.3692022,192.2898466,45.0263988,359.9869619,200.0291277,125.5155957
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-49,341.2780488,231.1977202,36.81836804,335.5265699,237.3971506,116.4811605
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-28-16-48-57,286.4929019,215.1899821,38.58454979,281.4929377,217.5096166,120.7502434
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-47-31,257.0017628,224.7512855,50.16058198,262.7802537,225.3941516,128.1259929
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-47-38,330.8483971,213.1931631,38.60940096,334.838485,214.9724334,119.6519371
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-47-45,295.6517602,212.4415853,41.77037548,298.3497799,214.1369637,118.9802499
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-47-52,262.9129246,214.9891104,49.42284425,267.0534507,215.0118389,128.9087913
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-47-59,289.3112383,181.1478681,48.71986991,294.0647506,181.8015076,130.4165934
dataset/iiitd/images/Test/Contacts/AN10_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-28-16-48-06,305.4671656,182.7113657,44.66544077,308.885678,181.5680619,120.4084222
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-40-37,348.7109563,221.1151371,35.82654049,338.9846443,212.9932544,118.901863
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-40-42,375.6386647,235.5186849,35.44025594,360.1874298,228.0592553,118.7319062
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-40-48,363.1159715,242.2172863,36.59365217,352.1377051,234.233796,120.2589726
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-40-54,334.3554311,216.4193244,37.55658454,321.3098736,208.4430201,127.185497
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-41-00,344.5119533,188.2786157,33.92801348,342.9413371,201.1134847,112.8240294
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-41-05,350.1795548,204.5968071,36.96359274,347.7997074,213.2424184,119.0174757
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-39-54,426.3966846,265.1264287,34.02937771,430.0166083,266.0963846,106.5284943
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-40-04,427.3135819,154.279581,34.50715381,431.0263378,152.33843,100.9897257
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-40-09,373.4181979,237.5501322,32.57385289,377.8084203,239.3790629,111.2518203
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-40-15,375.9296459,238.1835402,29.89285514,377.377216,227.2115391,112.3974802
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-40-21,428.8949642,281.5524858,38.2169375,434.157612,283.1728806,99.58724035
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-40-27,389.1315241,241.8798206,30.25403303,391.0205681,232.1359917,109.2768306
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-47-47,392.5127958,203.9736602,37.85231293,390.3998079,214.6817259,108.2793051
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-47-53,374.0805718,260.9996732,40.84909504,372.769764,273.013746,115.7661397
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-47-59,369.5201353,217.539635,28.9293818,361.5961883,209.6659704,111.4920889
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-48-04,388.022758,236.744704,37.81420487,384.3323376,231.8522307,121.0842185
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-48-10,373.8939915,227.4308694,29.2366807,370.7774471,221.9613406,118.290457
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-48-16,342.6503881,251.0925409,38.05157815,337.7458775,244.9476333,123.2674178
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-10-17-48-21,340.9402336,209.1085127,36.87457813,336.5722924,202.7212677,133.602706
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-46-55,417.2643921,253.3439727,29.18065875,423.6418851,256.938127,100.4043457
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-47-00,398.7725891,287.5222185,33.95704943,402.8850969,278.6063284,104.722894
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-47-11,404.7411001,275.2585316,30.6839291,409.2899055,282.4492272,94.58433635
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-47-25,336.7911962,256.5611495,34.36165126,342.6153497,264.2429385,111.131374
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-47-32,378.268974,315.3928973,34.38082147,383.7793129,321.8290432,97.81207368
dataset/iiitd/images/Test/Contacts/AN11_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-10-17-47-40,359.4526898,261.9214204,26.90172246,364.9768133,267.4141072,101.9235861
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-26-45,358.2627781,254.5951776,35.62935664,348.5497361,257.9491039,114.7148627
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-26-51,355.7219383,212.9431056,29.90448654,349.0733308,214.7178267,112.3414301
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-26-59,356.0289177,244.2470041,36.48974764,346.0369974,245.0390201,118.9198101
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-27-05,345.2775185,234.9598582,36.18759345,335.8171979,234.2740282,125.3047624
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-27-11,343.5247943,179.5199385,34.84232455,334.0457866,171.6801242,134.4081175
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-27-17,339.9387479,254.191085,27.92942121,332.0507308,252.6221445,115.9110534
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-27-22,361.2661577,244.2827241,39.06160094,353.2294924,246.9109672,124.4675783
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-33-36,339.4366374,197.928365,39.56309583,349.3218647,198.6299527,133.2842948
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-33-43,363.5348737,234.5043703,28.77632521,361.4331275,242.3625183,116.7566933
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-33-49,390.4733877,236.5254576,30.03075869,386.9593769,246.4170653,125.632094
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-33-56,382.7123532,194.6386148,34.20411061,393.0513575,200.1476816,132.8024248
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-34-02,391.9366278,169.9796934,33.35331918,401.0787522,177.6796217,130.2340855
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-34-08,358.9056362,200.2741167,34.62454219,368.0992561,206.1474269,135.5000312
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-00,267.3357102,239.5749146,41.48674097,257.2193164,240.1796068,119.5658384
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-07,227.5221324,230.8084662,42.99932418,219.4040073,236.128692,119.3795518
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-13,275.0661061,245.1098832,44.2573474,267.2474317,248.0978778,116.5482826
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-19,349.9664936,271.061647,43.15634872,344.7285636,275.7591533,109.723829
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-26,314.7991097,299.2484158,42.81712088,296.1517461,292.2711811,126.5810685
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-32,381.1828347,295.7002842,44.08068981,374.6832759,290.9457183,120.1071529
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-16-19-38-39,360.7470451,330.3063296,45.88948489,354.0825032,331.826447,118.3471257
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-16,327.954313,325.8398899,32.84639317,334.6155416,328.3620433,117.4948274
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-25,416.6573745,296.5512168,39.12944773,424.4385469,302.6952559,127.148252
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-32,365.1669168,217.2923728,34.67452743,372.942537,224.6912864,124.2574363
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-38,420.1803597,234.7622255,35.24669891,428.3227959,237.9924548,117.5130587
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-45,445.6524395,238.764621,27.8125594,453.4570869,241.6964251,109.0591982
dataset/iiitd/images/Test/Contacts/AN11_Day_2_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-16-19-37-51,460.4742736,213.2069505,31.39953632,466.9790009,219.1915033,102.5678916
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-06,337.2625795,254.0072853,57.60715369,336.3165478,252.444922,127.2037432
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-12,350.8049517,245.7878188,51.87117113,352.0314703,245.9907828,118.3257143
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-19,342.8148868,210.7864204,53.08979313,343.8610281,211.6207421,120.7908877
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-26,336.1048955,220.7639853,55.3504048,336.2301346,220.6646325,118.4087776
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-33,334.0769427,229.2008177,56.52555787,335.463118,228.080123,115.829169
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-11-44,338.2254971,228.0029942,51.85638956,340.625165,228.4361324,115.4155145
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-06,285.8252947,231.9505306,56.78933531,287.0466093,235.0988928,126.2430672
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-19,345.2705579,207.0160814,47.06571003,346.0923626,212.4761317,126.7839565
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-27,329.0504888,227.3260313,47.37668855,328.8977482,235.3664087,124.2902053
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-34,333.5658759,222.9060549,46.07590437,334.8235806,232.2846834,129.2789876
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-45,318.0624994,224.7586642,41.81631065,318.8110375,234.3807427,116.7206722
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-10-54,331.7081419,207.1704291,53.6345656,332.3064456,214.1470719,125.8204059
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-04-49,364.047442,227.4155282,44.65975477,367.4480641,226.982353,92.45213406
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-05-04,311.7274832,249.7007019,46.16387072,315.3334334,247.5458857,100.3840219
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-05-28,354.3636718,252.5125965,39.29572125,354.7367996,252.6751784,94.82896228
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-05-43,327.8065421,230.0287898,43.22618384,328.7734916,231.58939,94.23214914
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-05-57,330.9909197,226.6528043,42.3877249,331.7385728,229.7271216,96.21478322
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-06-05,368.7865155,241.3433171,47.91277725,371.792277,234.3502724,103.1611115
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_L_UnknownEye_K1_640x480_2017-02-27-18-06-19,344.0387692,236.1961505,48.4184931,344.2912293,235.4960388,100.0317411
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-03-33,343.6736421,225.8418409,46.12505074,335.5966519,228.0195026,102.6006773
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-03-44,324.4124526,231.4399937,41.74475755,316.7125589,230.9370438,98.32563553
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-03-51,306.993627,239.3634238,51.20385739,306.4751429,240.4747067,108.156384
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-03-58,307.7212608,239.7483581,51.085338,306.3766815,226.1267206,115.1548334
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-04-05,321.6388778,289.5353075,50.27999785,321.8247748,289.8996867,110.3898637
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-04-14,339.7904984,252.1126754,49.93620378,339.7845589,251.829022,108.2611861
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-04-21,319.3708632,235.2923377,53.9736273,318.3709386,235.4127606,122.3832939
dataset/iiitd/images/Test/Contacts/AN12_Day_1_Outdoor_Spoof_R_UnknownEye_K1_640x480_2017-02-27-18-04-27,323.8828984,246.6377922,48.02280451,324.2464879,251.6146359,111.1965699
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-16-34,310.7194283,203.2819991,57.33649566,315.5508253,207.4909631,130.4008666
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-16-41,342.3429985,202.3863418,63.5812958,349.6382136,206.0658514,135.1760621
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-16-50,325.7232001,241.9424245,56.68854483,331.803652,245.448423,118.50385
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-16-58,322.4264848,237.8064517,57.34818264,331.5029286,236.1431106,115.7986598
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-17-05,316.2320031,241.3042406,56.31901689,323.3739629,244.9624755,127.299262
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-17-12,309.0441583,254.0210661,53.59163535,316.1976786,256.8116926,120.5122945
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_L_UnknownEye_K1_640x480_2017-03-09-18-17-24,326.836832,235.4466122,54.34827982,334.0948186,239.4799198,121.23748
dataset/iiitd/images/Test/Contacts/AN12_Day_2_Indoor_Spoof_R_UnknownEye_K1_640x480_2017-03-09-18-15-43,291.6317017,248.2455493,54.2154591,292.2568966,237.38671,132.9083394
