fname,spoof,eye,sequenceid
0055_PRNT_R_3.png,1,R,0055_3
0055_REAL_L_1.png,0,L,0055_1
0055_REAL_L_2.png,0,L,0055_2
0055_REAL_L_3.png,0,L,0055_3
0055_REAL_R_1.png,0,R,0055_1
0055_REAL_R_2.png,0,R,0055_2
0055_REAL_R_3.png,0,R,0055_3
0056_PRNT_L_1.png,1,L,0056_1
0056_PRNT_L_2.png,1,L,0056_2
0056_PRNT_R_1.png,1,R,0056_1
0056_PRNT_R_2.png,1,R,0056_2
0056_PRNT_R_3.png,1,R,0056_3
0056_REAL_L_1.png,0,L,0056_1
0056_REAL_L_2.png,0,L,0056_2
0056_REAL_L_3.png,0,L,0056_3
0056_REAL_R_1.png,0,R,0056_1
0056_REAL_R_2.png,0,R,0056_2
0056_REAL_R_3.png,0,R,0056_3
0058_PRNT_L_1.png,1,L,0058_1
0058_PRNT_R_1.png,1,R,0058_1
0058_PRNT_R_2.png,1,R,0058_2
0058_PRNT_R_3.png,1,R,0058_3
0058_REAL_L_1.png,0,L,0058_1
0058_REAL_L_2.png,0,L,0058_2
0058_REAL_L_3.png,0,L,0058_3
0058_REAL_R_1.png,0,R,0058_1
0058_REAL_R_2.png,0,R,0058_2
0058_REAL_R_3.png,0,R,0058_3
0059_PRNT_L_1.png,1,L,0059_1
0059_PRNT_L_2.png,1,L,0059_2
0059_PRNT_L_3.png,1,L,0059_3
0059_PRNT_R_1.png,1,R,0059_1
0059_PRNT_R_2.png,1,R,0059_2
0059_PRNT_R_3.png,1,R,0059_3
0059_REAL_L_1.png,0,L,0059_1
0059_REAL_L_2.png,0,L,0059_2
0059_REAL_L_3.png,0,L,0059_3
0059_REAL_R_1.png,0,R,0059_1
0059_REAL_R_2.png,0,R,0059_2
0059_REAL_R_3.png,0,R,0059_3
0060_PRNT_L_1.png,1,L,0060_1
0060_PRNT_L_2.png,1,L,0060_2
0060_PRNT_L_3.png,1,L,0060_3
0060_PRNT_R_1.png,1,R,0060_1
0060_PRNT_R_2.png,1,R,0060_2
0060_PRNT_R_3.png,1,R,0060_3
0060_REAL_L_1.png,0,L,0060_1
0060_REAL_L_2.png,0,L,0060_2
0060_REAL_L_3.png,0,L,0060_3
0060_REAL_R_1.png,0,R,0060_1
0060_REAL_R_2.png,0,R,0060_2
0060_REAL_R_3.png,0,R,0060_3
0062_PRNT_L_1.png,1,L,0062_1
0062_PRNT_L_2.png,1,L,0062_2
0062_PRNT_L_3.png,1,L,0062_3
0062_REAL_L_1.png,0,L,0062_1
0062_REAL_L_2.png,0,L,0062_2
0062_REAL_L_3.png,0,L,0062_3
0063_PRNT_L_1.png,1,L,0063_1
0063_PRNT_L_2.png,1,L,0063_2
0063_PRNT_L_3.png,1,L,0063_3
0063_REAL_L_1.png,0,L,0063_1
0063_REAL_L_2.png,0,L,0063_2
0063_REAL_L_3.png,0,L,0063_3
0065_PRNT_L_1.png,1,L,0065_1
0065_PRNT_L_2.png,1,L,0065_2
0065_PRNT_R_1.png,1,R,0065_1
0065_PRNT_R_2.png,1,R,0065_2
0065_PRNT_R_3.png,1,R,0065_3
0065_REAL_L_1.png,0,L,0065_1
0065_REAL_L_2.png,0,L,0065_2
0065_REAL_L_3.png,0,L,0065_3
0065_REAL_R_1.png,0,R,0065_1
0065_REAL_R_2.png,0,R,0065_2
0065_REAL_R_3.png,0,R,0065_3
0066_PRNT_R_1.png,1,R,0066_1
0066_PRNT_R_2.png,1,R,0066_2
0066_PRNT_R_3.png,1,R,0066_3
0066_REAL_R_1.png,0,R,0066_1
0066_REAL_R_2.png,0,R,0066_2
0066_REAL_R_3.png,0,R,0066_3
0067_PRNT_R_1.png,1,R,0067_1
0067_PRNT_R_2.png,1,R,0067_2
0067_REAL_R_1.png,0,R,0067_1
0067_REAL_R_2.png,0,R,0067_2
0067_REAL_R_3.png,0,R,0067_3
0070_PRNT_L_1.png,1,L,0070_1
0070_PRNT_L_2.png,1,L,0070_2
0070_PRNT_L_3.png,1,L,0070_3
0070_PRNT_R_1.png,1,R,0070_1
0070_PRNT_R_2.png,1,R,0070_2
0070_PRNT_R_3.png,1,R,0070_3
0070_REAL_L_1.png,0,L,0070_1
0070_REAL_L_2.png,0,L,0070_2
0070_REAL_L_3.png,0,L,0070_3
0070_REAL_R_1.png,0,R,0070_1
0070_REAL_R_2.png,0,R,0070_2
0070_REAL_R_3.png,0,R,0070_3
0071_PRNT_L_1.png,1,L,0071_1
0071_PRNT_L_2.png,1,L,0071_2
0071_PRNT_L_3.png,1,L,0071_3
0071_PRNT_R_1.png,1,R,0071_1
0071_PRNT_R_2.png,1,R,0071_2
0071_PRNT_R_3.png,1,R,0071_3
0071_REAL_L_1.png,0,L,0071_1
0071_REAL_L_2.png,0,L,0071_2
0071_REAL_L_3.png,0,L,0071_3
0071_REAL_R_1.png,0,R,0071_1
0071_REAL_R_2.png,0,R,0071_2
0071_REAL_R_3.png,0,R,0071_3
0073_PRNT_L_1.png,1,L,0073_1
0073_PRNT_L_2.png,1,L,0073_2
0073_PRNT_L_3.png,1,L,0073_3
0073_PRNT_R_1.png,1,R,0073_1
0073_PRNT_R_2.png,1,R,0073_2
0073_REAL_L_1.png,0,L,0073_1
0073_REAL_L_2.png,0,L,0073_2
0073_REAL_L_3.png,0,L,0073_3
0073_REAL_R_1.png,0,R,0073_1
0073_REAL_R_2.png,0,R,0073_2
0073_REAL_R_3.png,0,R,0073_3
0075_PRNT_L_1.png,1,L,0075_1
0075_PRNT_L_2.png,1,L,0075_2
0075_PRNT_L_3.png,1,L,0075_3
0075_PRNT_R_1.png,1,R,0075_1
0075_PRNT_R_2.png,1,R,0075_2
0075_PRNT_R_3.png,1,R,0075_3
0075_PRNT_R_4.png,1,R,0075_4
0075_PRNT_R_5.png,1,R,0075_5
0075_PRNT_R_6.png,1,R,0075_6
0075_REAL_L_1.png,0,L,0075_1
0075_REAL_L_2.png,0,L,0075_2
0075_REAL_L_3.png,0,L,0075_3
0075_REAL_R_1.png,0,R,0075_1
0075_REAL_R_2.png,0,R,0075_2
0075_REAL_R_3.png,0,R,0075_3
0079_PRNT_L_1.png,1,L,0079_1
0079_PRNT_L_2.png,1,L,0079_2
0079_PRNT_R_1.png,1,R,0079_1
0079_PRNT_R_2.png,1,R,0079_2
0079_PRNT_R_3.png,1,R,0079_3
0079_REAL_L_1.png,0,L,0079_1
0079_REAL_L_2.png,0,L,0079_2
0079_REAL_L_3.png,0,L,0079_3
0079_REAL_R_1.png,0,R,0079_1
0079_REAL_R_2.png,0,R,0079_2
0079_REAL_R_3.png,0,R,0079_3
0080_PRNT_L_1.png,1,L,0080_1
0080_PRNT_L_2.png,1,L,0080_2
0080_PRNT_R_1.png,1,R,0080_1
0080_PRNT_R_2.png,1,R,0080_2
0080_REAL_L_1.png,0,L,0080_1
0080_REAL_L_2.png,0,L,0080_2
0080_REAL_L_3.png,0,L,0080_3
0080_REAL_R_1.png,0,R,0080_1
0080_REAL_R_2.png,0,R,0080_2
0080_REAL_R_3.png,0,R,0080_3
0081_PRNT_R_1.png,1,R,0081_1
0081_PRNT_R_2.png,1,R,0081_2
0081_PRNT_R_3.png,1,R,0081_3
0081_REAL_R_1.png,0,R,0081_1
0081_REAL_R_2.png,0,R,0081_2
0081_REAL_R_3.png,0,R,0081_3
0082_PRNT_L_1.png,1,L,0082_1
0082_PRNT_L_2.png,1,L,0082_2
0082_PRNT_L_3.png,1,L,0082_3
0082_PRNT_R_1.png,1,R,0082_1
0082_PRNT_R_2.png,1,R,0082_2
0082_PRNT_R_3.png,1,R,0082_3
0082_REAL_L_1.png,0,L,0082_1
0082_REAL_L_2.png,0,L,0082_2
0082_REAL_L_3.png,0,L,0082_3
0082_REAL_R_1.png,0,R,0082_1
0082_REAL_R_2.png,0,R,0082_2
0082_REAL_R_3.png,0,R,0082_3
0083_PRNT_L_1.png,1,L,0083_1
0083_PRNT_L_2.png,1,L,0083_2
0083_PRNT_L_3.png,1,L,0083_3
0083_PRNT_R_1.png,1,R,0083_1
0083_PRNT_R_2.png,1,R,0083_2
0083_REAL_L_1.png,0,L,0083_1
0083_REAL_L_2.png,0,L,0083_2
0083_REAL_L_3.png,0,L,0083_3
0083_REAL_R_1.png,0,R,0083_1
0083_REAL_R_2.png,0,R,0083_2
0083_REAL_R_3.png,0,R,0083_3
0084_PRNT_R_1.png,1,R,0084_1
0084_PRNT_R_2.png,1,R,0084_2
0084_REAL_R_1.png,0,R,0084_1
0084_REAL_R_2.png,0,R,0084_2
0084_REAL_R_3.png,0,R,0084_3
0085_PRNT_R_1.png,1,R,0085_1
0085_PRNT_R_2.png,1,R,0085_2
0085_REAL_R_1.png,0,R,0085_1
0085_REAL_R_2.png,0,R,0085_2
0085_REAL_R_3.png,0,R,0085_3
0086_PRNT_L_1.png,1,L,0086_1
0086_REAL_L_1.png,0,L,0086_1
0086_REAL_L_2.png,0,L,0086_2
0086_REAL_L_3.png,0,L,0086_3
0087_PRNT_L_1.png,1,L,0087_1
0087_PRNT_L_2.png,1,L,0087_2
0087_REAL_L_1.png,0,L,0087_1
0087_REAL_L_2.png,0,L,0087_2
0087_REAL_L_3.png,0,L,0087_3
0088_PRNT_L_1.png,1,L,0088_1
0088_PRNT_L_2.png,1,L,0088_2
0088_PRNT_R_1.png,1,R,0088_1
0088_PRNT_R_2.png,1,R,0088_2
0088_PRNT_R_3.png,1,R,0088_3
0088_REAL_L_1.png,0,L,0088_1
0088_REAL_L_2.png,0,L,0088_2
0088_REAL_L_3.png,0,L,0088_3
0088_REAL_R_1.png,0,R,0088_1
0088_REAL_R_2.png,0,R,0088_2
0088_REAL_R_3.png,0,R,0088_3
0089_PRNT_L_1.png,1,L,0089_1
0089_PRNT_L_2.png,1,L,0089_2
0089_PRNT_L_3.png,1,L,0089_3
0089_PRNT_R_1.png,1,R,0089_1
0089_REAL_L_1.png,0,L,0089_1
0089_REAL_L_2.png,0,L,0089_2
0089_REAL_L_3.png,0,L,0089_3
0089_REAL_R_1.png,0,R,0089_1
0089_REAL_R_2.png,0,R,0089_2
0089_REAL_R_3.png,0,R,0089_3
0090_PRNT_R_1.png,1,R,0090_1
0090_PRNT_R_2.png,1,R,0090_2
0090_REAL_R_1.png,0,R,0090_1
0090_REAL_R_2.png,0,R,0090_2
0090_REAL_R_3.png,0,R,0090_3
0097_PRNT_L_1.png,1,L,0097_1
0097_PRNT_L_2.png,1,L,0097_2
0097_PRNT_L_3.png,1,L,0097_3
0097_PRNT_L_4.png,1,L,0097_4
0097_PRNT_L_5.png,1,L,0097_5
0097_PRNT_L_6.png,1,L,0097_6
0097_PRNT_L_7.png,1,L,0097_7
0097_PRNT_R_1.png,1,R,0097_1
0097_PRNT_R_2.png,1,R,0097_2
0097_PRNT_R_3.png,1,R,0097_3
0097_REAL_L_1.png,0,L,0097_1
0097_REAL_L_2.png,0,L,0097_2
0097_REAL_L_3.png,0,L,0097_3
0097_REAL_R_1.png,0,R,0097_1
0097_REAL_R_2.png,0,R,0097_2
0097_REAL_R_3.png,0,R,0097_3
0098_PRNT_L_1.png,1,L,0098_1
0098_PRNT_L_2.png,1,L,0098_2
0098_REAL_L_1.png,0,L,0098_1
0098_REAL_L_2.png,0,L,0098_2
0098_REAL_L_3.png,0,L,0098_3
0100_PRNT_R_1.png,1,R,0100_1
0100_PRNT_R_2.png,1,R,0100_2
0100_PRNT_R_3.png,1,R,0100_3
0100_REAL_R_1.png,0,R,0100_1
0100_REAL_R_2.png,0,R,0100_2
0100_REAL_R_3.png,0,R,0100_3
0101_PRNT_L_1.png,1,L,0101_1
0101_PRNT_L_2.png,1,L,0101_2
0101_PRNT_L_3.png,1,L,0101_3
0101_PRNT_R_1.png,1,R,0101_1
0101_PRNT_R_2.png,1,R,0101_2
0101_PRNT_R_3.png,1,R,0101_3
0101_REAL_L_1.png,0,L,0101_1
0101_REAL_L_2.png,0,L,0101_2
0101_REAL_L_3.png,0,L,0101_3
0101_REAL_R_1.png,0,R,0101_1
0101_REAL_R_2.png,0,R,0101_2
0101_REAL_R_3.png,0,R,0101_3
0102_PRNT_L_1.png,1,L,0102_1
0102_PRNT_R_1.png,1,R,0102_1
0102_PRNT_R_2.png,1,R,0102_2
0102_REAL_L_1.png,0,L,0102_1
0102_REAL_L_2.png,0,L,0102_2
0102_REAL_L_3.png,0,L,0102_3
0102_REAL_R_1.png,0,R,0102_1
0102_REAL_R_2.png,0,R,0102_2
0102_REAL_R_3.png,0,R,0102_3
0103_PRNT_R_1.png,1,R,0103_1
0103_PRNT_R_2.png,1,R,0103_2
0103_PRNT_R_3.png,1,R,0103_3
0103_REAL_R_1.png,0,R,0103_1
0103_REAL_R_2.png,0,R,0103_2
0103_REAL_R_3.png,0,R,0103_3
0104_PRNT_L_1.png,1,L,0104_1
0104_PRNT_L_2.png,1,L,0104_2
0104_PRNT_L_3.png,1,L,0104_3
0104_PRNT_R_1.png,1,R,0104_1
0104_PRNT_R_2.png,1,R,0104_2
0104_PRNT_R_3.png,1,R,0104_3
0104_REAL_L_1.png,0,L,0104_1
0104_REAL_L_2.png,0,L,0104_2
0104_REAL_L_3.png,0,L,0104_3
0104_REAL_R_1.png,0,R,0104_1
0104_REAL_R_2.png,0,R,0104_2
0104_REAL_R_3.png,0,R,0104_3
0105_PRNT_L_1.png,1,L,0105_1
0105_PRNT_L_2.png,1,L,0105_2
0105_PRNT_L_3.png,1,L,0105_3
0105_REAL_L_1.png,0,L,0105_1
0105_REAL_L_2.png,0,L,0105_2
0105_REAL_L_3.png,0,L,0105_3
0106_PRNT_R_1.png,1,R,0106_1
0106_REAL_R_1.png,0,R,0106_1
0106_REAL_R_2.png,0,R,0106_2
0106_REAL_R_3.png,0,R,0106_3
0107_PRNT_L_1.png,1,L,0107_1
0107_PRNT_L_2.png,1,L,0107_2
0107_PRNT_L_3.png,1,L,0107_3
0107_PRNT_R_1.png,1,R,0107_1
0107_PRNT_R_2.png,1,R,0107_2
0107_PRNT_R_3.png,1,R,0107_3
0107_REAL_L_1.png,0,L,0107_1
0107_REAL_L_2.png,0,L,0107_2
0107_REAL_L_3.png,0,L,0107_3
0107_REAL_R_1.png,0,R,0107_1
0107_REAL_R_2.png,0,R,0107_2
0107_REAL_R_3.png,0,R,0107_3
0108_PRNT_L_1.png,1,L,0108_1
0108_PRNT_L_2.png,1,L,0108_2
0108_PRNT_L_3.png,1,L,0108_3
0108_PRNT_R_1.png,1,R,0108_1
0108_PRNT_R_2.png,1,R,0108_2
0108_PRNT_R_3.png,1,R,0108_3
0108_REAL_L_1.png,0,L,0108_1
0108_REAL_L_2.png,0,L,0108_2
0108_REAL_L_3.png,0,L,0108_3
0108_REAL_R_1.png,0,R,0108_1
0108_REAL_R_2.png,0,R,0108_2
0108_REAL_R_3.png,0,R,0108_3
0109_PRNT_R_1.png,1,R,0109_1
0109_PRNT_R_2.png,1,R,0109_2
0109_PRNT_R_3.png,1,R,0109_3
0109_REAL_R_1.png,0,R,0109_1
0109_REAL_R_2.png,0,R,0109_2
0109_REAL_R_3.png,0,R,0109_3
0110_PRNT_L_1.png,1,L,0110_1
0110_PRNT_L_2.png,1,L,0110_2
0110_PRNT_L_3.png,1,L,0110_3
0110_PRNT_R_1.png,1,R,0110_1
0110_PRNT_R_2.png,1,R,0110_2
0110_PRNT_R_3.png,1,R,0110_3
0110_REAL_L_1.png,0,L,0110_1
0110_REAL_L_2.png,0,L,0110_2
0110_REAL_L_3.png,0,L,0110_3
0110_REAL_R_1.png,0,R,0110_1
0110_REAL_R_2.png,0,R,0110_2
0110_REAL_R_3.png,0,R,0110_3
0111_PRNT_L_1.png,1,L,0111_1
0111_PRNT_L_2.png,1,L,0111_2
0111_PRNT_L_3.png,1,L,0111_3
0111_PRNT_R_1.png,1,R,0111_1
0111_PRNT_R_2.png,1,R,0111_2
0111_PRNT_R_3.png,1,R,0111_3
0111_REAL_L_1.png,0,L,0111_1
0111_REAL_L_2.png,0,L,0111_2
0111_REAL_L_3.png,0,L,0111_3
0111_REAL_R_1.png,0,R,0111_1
0111_REAL_R_2.png,0,R,0111_2
0111_REAL_R_3.png,0,R,0111_3
0112_PRNT_R_1.png,1,R,0112_1
0112_PRNT_R_2.png,1,R,0112_2
0112_PRNT_R_3.png,1,R,0112_3
0112_REAL_R_1.png,0,R,0112_1
0112_REAL_R_2.png,0,R,0112_2
0112_REAL_R_3.png,0,R,0112_3
0113_PRNT_R_1.png,1,R,0113_1
0113_PRNT_R_2.png,1,R,0113_2
0113_PRNT_R_3.png,1,R,0113_3
0113_REAL_R_1.png,0,R,0113_1
0113_REAL_R_2.png,0,R,0113_2
0113_REAL_R_3.png,0,R,0113_3
0114_PRNT_R_1.png,1,R,0114_1
0114_PRNT_R_2.png,1,R,0114_2
0114_PRNT_R_3.png,1,R,0114_3
0114_REAL_R_1.png,0,R,0114_1
0114_REAL_R_2.png,0,R,0114_2
0114_REAL_R_3.png,0,R,0114_3
0115_PRNT_R_1.png,1,R,0115_1
0115_PRNT_R_2.png,1,R,0115_2
0115_PRNT_R_3.png,1,R,0115_3
0115_REAL_R_1.png,0,R,0115_1
0115_REAL_R_2.png,0,R,0115_2
0115_REAL_R_3.png,0,R,0115_3
0116_PRNT_R_1.png,1,R,0116_1
0116_REAL_R_1.png,0,R,0116_1
0116_REAL_R_2.png,0,R,0116_2
0116_REAL_R_3.png,0,R,0116_3
0118_PRNT_R_1.png,1,R,0118_1
0118_PRNT_R_2.png,1,R,0118_2
0118_PRNT_R_3.png,1,R,0118_3
0118_REAL_R_1.png,0,R,0118_1
0118_REAL_R_2.png,0,R,0118_2
0118_REAL_R_3.png,0,R,0118_3
0119_PRNT_L_1.png,1,L,0119_1
0119_PRNT_L_2.png,1,L,0119_2
0119_PRNT_L_3.png,1,L,0119_3
0119_REAL_L_1.png,0,L,0119_1
0119_REAL_L_2.png,0,L,0119_2
0119_REAL_L_3.png,0,L,0119_3
0120_PRNT_R_1.png,1,R,0120_1
0120_PRNT_R_2.png,1,R,0120_2
0120_PRNT_R_3.png,1,R,0120_3
0120_REAL_R_1.png,0,R,0120_1
0120_REAL_R_2.png,0,R,0120_2
0120_REAL_R_3.png,0,R,0120_3
0121_PRNT_R_1.png,1,R,0121_1
0121_PRNT_R_2.png,1,R,0121_2
0121_PRNT_R_3.png,1,R,0121_3
0121_REAL_R_1.png,0,R,0121_1
0121_REAL_R_2.png,0,R,0121_2
0121_REAL_R_3.png,0,R,0121_3
0122_PRNT_R_1.png,1,R,0122_1
0122_PRNT_R_2.png,1,R,0122_2
0122_PRNT_R_3.png,1,R,0122_3
0122_REAL_R_1.png,0,R,0122_1
0122_REAL_R_2.png,0,R,0122_2
0122_REAL_R_3.png,0,R,0122_3
0123_PRNT_R_1.png,1,R,0123_1
0123_PRNT_R_2.png,1,R,0123_2
0123_PRNT_R_3.png,1,R,0123_3
0123_REAL_R_1.png,0,R,0123_1
0123_REAL_R_2.png,0,R,0123_2
0123_REAL_R_3.png,0,R,0123_3
0124_PRNT_L_1.png,1,L,0124_1
0124_PRNT_L_2.png,1,L,0124_2
0124_PRNT_L_3.png,1,L,0124_3
0124_REAL_L_1.png,0,L,0124_1
0124_REAL_L_2.png,0,L,0124_2
0124_REAL_L_3.png,0,L,0124_3
0125_PRNT_R_1.png,1,R,0125_1
0125_PRNT_R_2.png,1,R,0125_2
0125_PRNT_R_3.png,1,R,0125_3
0125_REAL_R_1.png,0,R,0125_1
0125_REAL_R_2.png,0,R,0125_2
0125_REAL_R_3.png,0,R,0125_3
0128_PRNT_R_1.png,1,R,0128_1
0128_PRNT_R_2.png,1,R,0128_2
0128_PRNT_R_3.png,1,R,0128_3
0128_REAL_R_1.png,0,R,0128_1
0128_REAL_R_2.png,0,R,0128_2
0128_REAL_R_3.png,0,R,0128_3
0129_PRNT_R_1.png,1,R,0129_1
0129_PRNT_R_2.png,1,R,0129_2
0129_PRNT_R_3.png,1,R,0129_3
0129_REAL_R_1.png,0,R,0129_1
0129_REAL_R_2.png,0,R,0129_2
0129_REAL_R_3.png,0,R,0129_3
0131_PRNT_L_1.png,1,L,0131_1
0131_PRNT_L_2.png,1,L,0131_2
0131_PRNT_L_3.png,1,L,0131_3
0131_REAL_L_1.png,0,L,0131_1
0131_REAL_L_2.png,0,L,0131_2
0131_REAL_L_3.png,0,L,0131_3
0133_PRNT_R_1.png,1,R,0133_1
0133_PRNT_R_2.png,1,R,0133_2
0133_PRNT_R_3.png,1,R,0133_3
0133_REAL_R_1.png,0,R,0133_1
0133_REAL_R_2.png,0,R,0133_2
0133_REAL_R_3.png,0,R,0133_3
0134_PRNT_L_1.png,1,L,0134_1
0134_PRNT_L_2.png,1,L,0134_2
0134_PRNT_L_3.png,1,L,0134_3
0134_REAL_L_1.png,0,L,0134_1
0134_REAL_L_2.png,0,L,0134_2
0134_REAL_L_3.png,0,L,0134_3
0135_PRNT_R_1.png,1,R,0135_1
0135_PRNT_R_2.png,1,R,0135_2
0135_PRNT_R_3.png,1,R,0135_3
0135_REAL_R_1.png,0,R,0135_1
0135_REAL_R_2.png,0,R,0135_2
0135_REAL_R_3.png,0,R,0135_3
0136_PRNT_R_1.png,1,R,0136_1
0136_PRNT_R_2.png,1,R,0136_2
0136_PRNT_R_3.png,1,R,0136_3
0136_REAL_R_1.png,0,R,0136_1
0136_REAL_R_2.png,0,R,0136_2
0136_REAL_R_3.png,0,R,0136_3
0137_PRNT_R_1.png,1,R,0137_1
0137_PRNT_R_2.png,1,R,0137_2
0137_PRNT_R_3.png,1,R,0137_3
0137_REAL_R_1.png,0,R,0137_1
0137_REAL_R_2.png,0,R,0137_2
0137_REAL_R_3.png,0,R,0137_3
0140_PRNT_L_1.png,1,L,0140_1
0140_PRNT_L_2.png,1,L,0140_2
0140_PRNT_L_3.png,1,L,0140_3
0140_REAL_L_1.png,0,L,0140_1
0140_REAL_L_2.png,0,L,0140_2
0140_REAL_L_3.png,0,L,0140_3
0142_PRNT_L_1.png,1,L,0142_1
0142_PRNT_R_1.png,1,R,0142_1
0142_PRNT_R_2.png,1,R,0142_2
0142_REAL_L_1.png,0,L,0142_1
0142_REAL_L_2.png,0,L,0142_2
0142_REAL_L_3.png,0,L,0142_3
0142_REAL_R_1.png,0,R,0142_1
0142_REAL_R_2.png,0,R,0142_2
0142_REAL_R_3.png,0,R,0142_3
0143_PRNT_L_1.png,1,L,0143_1
0143_PRNT_L_2.png,1,L,0143_2
0143_PRNT_L_3.png,1,L,0143_3
0143_PRNT_L_4.png,1,L,0143_4
0143_REAL_L_1.png,0,L,0143_1
0143_REAL_L_2.png,0,L,0143_2
0143_REAL_L_3.png,0,L,0143_3
0144_PRNT_L_1.png,1,L,0144_1
0144_PRNT_L_2.png,1,L,0144_2
